工具名称,工具作者,他山评分,实用性评分,可持续性评分,受欢迎度评分,可用工具数量,github_url
Xmind Generator MCP Server,BangyiZhang,72.94,92.5,30,57.18,1,https://github.com/BangyiZhang/xmind-generator-mcp
MCP Vertica,nolleh,72.94,92.5,30,57.18,6,https://github.com/nolleh/mcp-vertica
@reapi/mcp-openapi,reapi-com,72.94,92.5,30,57.18,7,https://github.com/ReAPI-com/mcp-openapi
Prompt Book 服务器,cardinalblue,72.14,92.5,26,57.18,16,https://github.com/cardinalblue/prompt-book-mcp-server
Astra DB MCP 服务器,datastax,72.14,92.5,26,57.18,16,https://github.com/datastax/astra-db-mcp
Quick Chart MCP 服务器,DataWorks,72.14,92.5,26,57.18,1,https://github.com/datafe/quick-chart-mcp
mcp-server-nodejs-api-docs,lirantal,71.84,80.0,62,57.18,2,https://github.com/lirantal/mcp-server-nodejs-api-docs
KnowledgeGraph MCP 服务器,n-r-w,71.74,82.5,54,57.18,11,https://github.com/n-r-w/knowledgegraph-mcp
mcp-installer - 用于安装 MCP 服务器的 MCP 服务器,zncou,71.54,92.5,23,57.18,2,https://github.com/ZNCOU/mcp-installer
shell-mcp,kevinwatt,71.54,92.5,23,57.18,20,https://github.com/kevinwatt/shell-mcp
Deliberate Reasoning Engine (DRE),haasonsaas,71.54,92.5,23,57.18,5,https://github.com/haasonsaas/deliberate-reasoning-engine
MCP OpenAI 服务器,mzxrai,71.54,92.5,23,57.18,1,https://github.com/mzxrai/mcp-openai
shadow-cljs-mcp,Bigsy,71.54,92.5,23,57.18,1,https://github.com/Bigsy/shadow-cljs-mcp
i18next MCP 服务器,gtrias,71.54,92.5,23,57.18,14,https://github.com/gtrias/i18next-mcp-server
mcp-micromanage,yodakeisuke,71.54,92.5,23,57.18,3,https://github.com/Durable-Technology/mcp-micromanage-your-agent
MCP 终端服务器,dillip285,71.54,92.5,23,57.18,1,https://github.com/dillip285/mcp-terminal
Strapi MCP 服务器,bschauer,71.34,92.5,22,57.18,5,https://github.com/misterboe/strapi-mcp-server
MCP 虚拟旅行机器人环境,mfukushim,71.04,80.0,58,57.18,8,https://github.com/mfukushim/map-traveler-mcp
npm 包 README MCP 服务器,elchika-inc,70.94,87.5,35,57.18,3,https://github.com/elchika-inc/npm-package-readme-mcp-server
CPAN 包 README MCP 服务器,elchika-inc,70.94,87.5,35,57.18,3,https://github.com/elchika-inc/cpan-package-readme-mcp-server
Composer 包 README MCP 服务器,elchika-inc,70.94,87.5,35,57.18,3,https://github.com/elchika-inc/composer-package-readme-mcp-server
ModelContextProtocol,NishantKJani,70.94,87.5,35,57.18,22,https://github.com/NishantKJani/ModelContextProtocol
Genesys Cloud MCP 服务器,MakingChatbots,70.94,82.5,50,57.18,8,https://github.com/MakingChatbots/genesys-cloud-mcp-server
Google Tasks MCP 服务器,alvinjchoi,70.74,92.5,19,57.18,6,https://github.com/alvinjchoi/gtasks-mcp
MCP PostgreSQL 服务器,antonorlov,70.74,92.5,19,57.18,6,https://github.com/antonorlov/mcp-postgres-server
钉钉 MCP 服务器,darrenyao,70.74,92.5,19,57.18,3,https://github.com/darrenyao/dingtalk-mcp-server
ArXiv 论文 MCP,yzfly,70.74,92.5,19,57.18,4,https://github.com/yzfly/Arxiv-Paper-MCP
OpenAlex MCP 服务器,reetp14,70.74,92.5,19,57.18,11,https://github.com/reetp14/openalex-mcp
LAPRAS MCP 服务器,lapras-inc,70.74,92.5,19,57.18,10,https://github.com/lapras-inc/lapras-mcp-server
Date-time Tools MCP,Abhishek Mehandiratta,70.14,87.5,31,57.18,3,https://github.com/abhi12299/date-time-tools
magicpod-mcp-server,Magic-Pod,70.14,82.5,46,57.18,24,https://github.com/Magic-Pod/magicpod-mcp-server
EdgeOne Pages MCP,TencentEdgeOne,70.04,80.0,38,72.2,2,https://github.com/TencentEdgeOne/edgeone-pages-mcp
bash-mcp,tinywind,69.94,92.5,15,57.18,4,https://github.com/tinywind/bash-mcp
MCP媒体处理服务器,maoxiaoke,69.94,87.5,30,57.18,10,https://github.com/maoxiaoke/mcp-media-processor
MyMCPSpace MCP 服务器,glifxyz,69.94,87.5,30,57.18,5,https://github.com/glifxyz/mymcpspace-mcp-server
mcp-server-ghibli MCP 服务器,MichaelYangjson,69.74,92.5,14,57.18,3,https://github.com/MichaelYangjson/mcp-ghibli-video
Divide and Conquer MCP Server,Landice Fu,69.74,92.5,14,57.18,15,https://github.com/landicefu/divide-and-conquer-mcp-server
Square 模型上下文协议服务器,square,69.74,92.5,14,57.18,3,https://github.com/square/square-mcp-server
Pinecone Developer MCP Server,pinecone-io,69.74,92.5,14,57.18,1,https://github.com/pinecone-io/pinecone-mcp
TypeScript 迁移器 MCP,LiangYingC,69.64,75.0,66,57.18,1,https://github.com/LiangYingC/typescript-migrator-mcp
Apple Shortcuts MCP 服务器,recursechat,69.44,80.0,35,72.2,2,https://github.com/recursechat/mcp-server-apple-shortcuts
Railway MCP 服务器,jason-tan-swe,68.94,92.5,10,57.18,38,https://github.com/jason-tan-swe/railway-mcp
OpenRPC MCP 服务器,user-attachments,68.94,92.5,10,57.18,2,https://github.com/shanejonas/openrpc-mpc-server
frontend-review-mcp,zueai,68.54,87.5,23,57.18,1,https://github.com/zueai/frontend-review-mcp
Windows CLI MCP 服务器（增强版）,s2005,68.54,72.5,68,57.18,5,https://github.com/s2005/wcli0
mcp-cli-exec MCP 服务器,jakenuts,68.54,87.5,23,57.18,2,https://github.com/jakenuts/mcp-cli-exec
Gem Package README MCP 服务器,elchika-inc,68.54,87.5,23,57.18,3,https://github.com/elchika-inc/gem-package-readme-mcp-server
MCP网页研究服务器,mzxrai,68.34,92.5,7,57.18,3,https://github.com/PhialsBasement/mcp-webresearch-stealthified
VisionCraft MCP 服务器,augmentedstartups,68.34,92.5,7,57.18,1,https://github.com/augmentedstartups/VisionCraft-MCP-Server
AGS MCP 服务器,wilson-lilburne,68.24,75.0,59,57.18,11,https://github.com/wilson-lilburne/ags-mcp-server
Expo 文档 MCP 服务器,ah2-io,67.94,82.5,35,57.18,5,https://github.com/ah2-io/expo-docs-mcp
mmnt-mcp-server,zbkm,67.84,80.0,42,57.18,2,https://github.com/zbkm/mmnt-mcp-server
_itcoin & Lightning Network MCP 服务器,AbdelStark,67.84,80.0,42,57.18,7,https://github.com/AbdelStark/bitcoin-mcp
