工具名称,工具作者,他山评分,实用性评分,可持续性评分,受欢迎度评分,可用工具数量,github_url
Salesforce MCP服务器,surajadsul02,46.74,52.5,19,57.18,7,https://github.com/usama-dtc/salesforce_mcp
Shopify MCP服务器,sudip358,46.74,52.5,19,57.18,19,https://github.com/sudip358/Shopify-MCP-Tools
MCP Perforce 服务器,Cocoon-AI,46.74,52.5,19,57.18,24,https://github.com/Cocoon-AI/mcp-perforce
MasterGo Magic MCP,mastergo-design,46.34,37.5,47,72.2,5,https://github.com/mastergo-design/mastergo-magic-mcp
Togello MCP 服务器,Toru-Takagi,46.14,47.5,31,57.18,10,https://github.com/Toru-Takagi/togello-mcp-server
AWS 知识库检索 MCP 服务器,sammcj,46.04,50.0,23,57.18,1,https://github.com/sammcj/mcp-aws-kb
SearXNG MCP 服务器,ihor-sokoliuk,45.94,42.5,30,72.2,2,https://github.com/ihor-sokoliuk/mcp-searxng
MySQL MCP 服务器,CarlosMS12,45.94,52.5,15,57.18,6,https://github.com/CarlosMS12/mysql-mcp-server
Figma MCP 服务器,1yhy,45.94,47.5,30,57.18,5,https://github.com/1yhy/Figma-Context-MCP
Serper MCP 服务器,garylab,45.94,47.5,30,57.18,13,https://github.com/garylab/serper-mcp-server
1Panel MCP 服务器,ruibaby,45.84,55.0,7,57.18,1,https://github.com/ruibaby/1Panel-mcp
Open Crawler MCP 服务器,elchika-inc,45.74,37.5,59,57.18,2,https://github.com/elchika-inc/open-crawler-mcp-server
21st.dev Magic AI Agent,21st-dev,45.43,37.5,22,92.67,4,https://github.com/21st-dev/magic-mcp
StatelyDB MCP 服务器,StatelyCloud,45.34,42.5,42,57.18,6,https://github.com/StatelyCloud/statelydb-mcp-server
NextBillion.ai MCP 服务器,nextbillion-ai,45.34,42.5,42,57.18,7,https://github.com/nextbillion-ai/nbai-mcp
Recraft AI MCP 服务器,recraft-ai,45.34,42.5,42,57.18,9,https://github.com/recraft-ai/mcp-recraft-server
Octodet Elasticsearch MCP 服务器,Octodet,45.34,42.5,42,57.18,16,https://github.com/Octodet/elasticsearch-mcp
iterm-mcp,lite,45.34,42.5,42,57.18,3,https://github.com/lite/iterm-mcp
@scrapezy/mcp MCP 服务器,scrapezy,45.34,42.5,42,57.18,1,https://github.com/Scrapezy/mcp
Argo CD MCP 服务器,Akuity,45.14,42.5,26,72.2,13,https://github.com/akuity/argocd-mcp
HotNews MCP 服务器,wopal-cn,45.04,50.0,3,72.2,1,https://github.com/wopal-cn/mcp-hotnews-server
Gmail MCP,shinzo-labs,44.54,42.5,38,57.18,64,https://github.com/shinzo-labs/gmail-mcp
webdev-mcp,zueai,44.54,54.166666666666664,3,57.18,0,https://github.com/zueai/webdev-mcp
Maton 代理工具包,maton-ai,44.34,52.5,7,57.18,16,https://github.com/maton-ai/agent-toolkit
MongoDB 兼容 - MCP 服务器,sourabhfb,43.94,42.5,35,57.18,10,https://github.com/sourabhfb/mongodb-mcp-that-works
Lattice HQ MCP 服务器,cyrilnoah1,43.94,42.5,35,57.18,16,https://github.com/cyrilnoah1/lattice-hq-mcp
环境署洪水监测 MCP 服务器,Dwain Barnes,43.94,42.5,35,57.18,11,https://github.com/dwain-barnes/mcp-server-environment-agency
SuperCollider MCP 服务器,Makotyo,43.94,42.5,35,57.18,2,https://github.com/MCP-Mirror/Synohara_supercollider-mcp
Frame0 MCP Server,niklauslee,43.74,42.5,34,57.18,28,https://github.com/niklauslee/frame0-mcp-server
Figma MCP 服务器,MatthewDailey,43.74,37.5,34,72.2,5,https://github.com/MatthewDailey/figma-mcp
Zoom MCP 服务器,JavaProgrammerLB,43.74,42.5,34,57.18,4,https://github.com/JavaProgrammerLB/zoom-mcp-server
MCP Server Playwright,Automata-Labs-team,43.74,42.5,19,72.2,10,https://github.com/Automata-Labs-team/MCP-Server-Playwright
yt-dlp-mcp,gtvar,43.14,42.5,31,57.18,4,https://github.com/Gtvar/yt-dlp-mcp
MCP Force：用于将 Salesforce API 作为 AI 代理工具的 MCP 服务器,rupertbarrowtm,43.14,37.5,46,57.18,78,https://github.com/RapidoCloud/mcp-force
MCP ts-morph 重构工具,SiroSuzume,42.94,42.5,30,57.18,5,https://github.com/SiroSuzume/mcp-ts-morph
MCP 客户端配置服务器,landicefu,42.94,42.5,30,57.18,6,https://github.com/landicefu/mcp-client-configuration-server
MCP 截图,kazuph,42.94,42.5,30,57.18,1,https://github.com/kazuph/mcp-screenshot
Azure TableStore MCP Server,dkmaker,42.94,42.5,30,57.18,3,https://github.com/dkmaker/mcp-azure-tablestorage
Memory Server MCP,hridaya423,42.94,47.5,15,57.18,12,https://github.com/hridaya423/memory-mcp
表情包 MCP 服务器,haltakov,42.94,42.5,30,57.18,1,https://github.com/haltakov/meme-mcp
交互反馈 MCP,noopstudios,42.4,30.0,34,87.98,0,https://github.com/noopstudios/interactive-feedback-mcp
MCP Deep Research,baranwang,42.34,37.5,42,57.18,1,https://github.com/baranwang/mcp-deep-research
Ecomm MCP 服务器,Redtri-git,42.34,37.5,42,57.18,1,https://github.com/Redtri-git/Ecomm-MCP
mcp-graphql,kailashg101,42.14,42.5,26,57.18,2,https://github.com/kailashAppDev/graphql-mcp-toolkit
MySQL MCP 服务器,kevinwatt,42.14,42.5,26,57.18,4,https://github.com/kevinwatt/mysql-mcp
Clay MCP 服务器,clay-inc,41.54,37.5,38,57.18,11,https://github.com/clay-inc/clay-mcp
Bankless Onchain MCP Server,Bankless,41.54,37.5,38,57.18,10,https://github.com/Bankless/onchain-mcp
xcode-mcp,devyhan,41.54,42.5,23,57.18,9,https://github.com/devyhan/xcode-mcp
mcp-mysql-server,malove86,41.54,42.5,23,57.18,4,https://github.com/Malove86/mcp-mysql-server
mcp-idb,noahlozevski,41.54,42.5,23,57.18,1,https://github.com/noahlozevski/mcp-idb
MCP LinkedIn,adhikasp,41.34,37.5,22,72.2,2,https://github.com/adhikasp/mcp-linkedin
MariaDB / MySQL数据库访问MCP服务器,rjsalgado,41.34,42.5,22,57.18,4,https://github.com/rjsalgado/mariadb-mcp-server
Datadog MCP 服务器,GeLi2001,40.74,42.5,19,57.18,10,https://github.com/GeLi2001/datadog-mcp-server
Inkdrop MCP 服务器,inkdropapp,40.74,42.5,19,57.18,11,https://github.com/inkdropapp/mcp-server
Celp MCP,empowerlocal,40.14,37.5,31,57.18,4,https://github.com/CelpAI/celp-mcp
Keycloak模型上下文协议服务器,M0-AR,39.94,42.5,15,57.18,85,https://github.com/M0-AR/keycloak-mcp-server
掘金MCP服务器,h7ml,39.94,37.5,30,57.18,34,https://github.com/h7ml/juejin-mcp-server
Amazon Bedrock MCP 服务器,zxkane,39.74,42.5,14,57.18,1,https://github.com/zxkane/mcp-server-amazon-bedrock
Google 可编程搜索引擎（PSE）MCP 服务器,rendyfebry,39.74,42.5,14,57.18,1,https://github.com/rendyfebry/google-pse-mcp
mcp-image-compression,InhiblabCore,39.74,42.5,14,57.18,1,https://github.com/InhiblabCore/mcp-image-compression
MemoryMesh,CheMiguel23,39.24,30.0,34,72.2,44,https://github.com/CheMiguel23/MemoryMesh
VictoriaMetrics MCP 服务器,yincongcyincong,39.14,37.5,26,57.18,6,https://github.com/yincongcyincong/VictoriaMetrics-mcp-server
API-MARKET MCP 服务器,Noveum,38.94,42.5,10,57.18,34,https://github.com/Noveum/api-market-mcp-server
Readwise MCP,readwiseio,38.34,42.5,7,57.18,1,https://github.com/readwiseio/readwise-mcp
Octodet Keycloak MCP Server,Octodet,37.84,30.0,42,57.18,7,https://github.com/Octodet/keycloak-mcp
mcp-uuidv7-generator,pomazanbohdan,37.84,30.0,42,57.18,0,https://github.com/pomazanbohdan/mcp-uuidv7-generator
agently-mcp：Agently 代理的模型上下文协议服务器,sloikod,37.74,37.5,19,57.18,1,https://github.com/sloikod/agently-mcp
Structurize-MCP,pcliu,36.94,37.5,15,57.18,1,https://github.com/pcliu/structurize-mcp
GitHub MCP 服务器,ildunari,36.94,37.5,15,57.18,11,https://github.com/ildunari/Github-MCP
OpenAPI MCP 桥接,ephrin,36.44,30.0,35,57.18,0,https://github.com/ephrin/openapi-mcp-bridge
AgentMail MCP 服务器,agentmail-to,35.34,37.5,7,57.18,14,https://github.com/agentmail-to/agentmail-mcp
Search Intent MCP,captainChaozi,34.54,37.5,3,57.18,1,https://github.com/captainChaozi/search-intent-mcp
mcp-scholarly MCP 服务器,ywwAHU,33.24,30.0,19,57.18,0,https://github.com/ywwAHU/mcp-scholarly
Danger Zone MCP,koinunopochi,30.04,30.0,3,57.18,0,https://github.com/koinunopochi/danger-zone-mcp
